valor_original,novo_valor
08ª Vara Cível ,Vara Cível
08ª Vara Cível - Regional de Santo Amaro,Vara Cível
08ª Vara do Juizado Especial,Juizado Especial Cível
08ª Vara do Juizado Especial Cível,Juizado Especial Cível
08ª Vara do Sistema dos Juizados Especiais do Consumidor ,Juizado Especial Cível
08º Juizado especial cível,Juizado Especial Cível
08º Juizado Especial Civel ,Juizado Especial Cível
08º Juizado Especial Cível ,Juizado Especial Cível
08º Juizado Especial Cível e das Relações de Cons. ,Juizado Especial Cível
08º Vara do Juizado Especial,Juizado Especial Cível
08º Vara do Juizado Especial Cível,Juizado Especial Cível
09° Juizado Especial Cível ,Juizado Especial Cível
09ª Câmara Cível,Vara Cível
09ª Turma Recursal,Juizado Especial Cível
09ª Unidade Jurisdicional Cível ,Vara Cível
09ª Unidade Jurisdicional Cível - 25º JD ,Vara Cível
09ª Unidade Jurisdicional Cível - 25º JD d ,Vara Cível
09ª Unidade Jurisdicional Cível - 26º JD ,Vara Cível
09ª Unidade Jurisdicional Cível - 27º JD ,Vara Cível
09ª Unidade Jurisdicional Cível - 27º JD d ,Vara Cível
09ª Vara Cível,Vara Cível
09ª Vara Cível ,Vara Cível
09ª Vara de Relações de Consumo ,Vara Cível
09ª Vara do Juizado Especial Cível,Juizado Especial Cível
09ª Vara do Sistema dos Juizados Especiais do Consumidor ,Juizado Especial Cível
09º Juizado Esp Cível e Crim do FRReg do 4º Dist ,Vara Cível
09º Juizado Especial Civel ,Juizado Especial Cível
09º Juizado Especial Cível ,Juizado Especial Cível
09º Juizado Especial Civel - Regional do 4º Distrito,Juizado Especial Cível
09º Juizado Especial Cível e Criminal,Juizado Especial Cível
09º Juizado Especial Cível e das Rel. de Cons. ,Juizado Especial Cível
09º Vara do Juizado Especial Cível,Juizado Especial Cível
1.ª VARA DOS FEITOS DE REL. DE CONSUMO,Vara Cível
1.º JUIZADO ESPECIAL,Juizado Especial Cível
1° CEJUSC,Juizado Especial Cível
1° Juizado Especial Cível,Juizado Especial Cível
1° JUIZADO ESPECIAL CÍVEL,Juizado Especial Cível
1° Juizado Especial Cível E Criminal,Juizado Especial Cível
1° Vara,Vara Cível
1° Vara Cível,Vara Cível
1° Vara De Família,Vara Cível
1° Vara Do Juizado Especial Cível,Juizado Especial Cível
1° Vara Dos Juizados Especiais Do Consumidor,Juizado Especial Cível
1° Vara Única,Vara Cível
10° CEJUSC,Juizado Especial Cível
10° Juizado Especial Cível,Juizado Especial Cível
10° Juizado Especial Cível,Juizado Especial Cível
10° Juizado Especial Cível E Criminal,Juizado Especial Cível
10° Vara Cível,Vara Cível
10°Vara do Juizado Especial Central ,Juizado Especial Cível
10ª Câmara Cível,Vara Cível
10ª Juizado Especial Cível ,Juizado Especial Cível
10ª Turma,Juizado Especial Cível
10ª UNIDADE DO JUIZADO ESPECIAL CÍVEL E CRIMINAL,Juizado Especial Cível
10ª Unidade Jurisdicional Cível ,Vara Cível
10ª Unidade Jurisdicional Cível - 28º JD ,Vara Cível
10ª Unidade Jurisdicional Cível - 28º JD da Comarca de Belo Horizonte,Vara Cível
10ª Unidade Jurisdicional Cível - 29º JD ,Vara Cível
10ª Unidade Jurisdicional Cível - 29º JD da Comarca de Belo Horizonte,Vara Cível
10ª Unidade Jurisdicional Cível - 30º JD ,Vara Cível
10ª Unidade Jurisdicional Cível - 30º JD da comarca de Belo Horizonte,Vara Cível
10ª VARA CÍVEL,Vara Cível
10ª Vara Cível,Vara Cível
10ª Vara Cível ,Vara Cível
10ª VARA CÍVEL DE ACIDENTES DO TRABALHO,Outros
10ª VARA DO JUIZADO ESPECIAL,Juizado Especial Cível
10ª Vara do Juizado Especial Central,Juizado Especial Cível
10ª VARA DO JUIZADO ESPECIAL CÍVEL,Juizado Especial Cível
10ª Vara do Juizado Especial Cível,Juizado Especial Cível
10ª Vara do Sistema dos Juizados Especiais do Consumidor ,Juizado Especial Cível
10ª VARA DOS FEITOS RELATIVO ÀS REL. DE CONSUMO,Vara Cível
10ª VSJE DO CONSUMIDOR (IMBUÍ VESPERTINO),Juizado Especial Cível
10ª VSJE DO CONSUMIDOR (UNIJORGE VESPERTINO),Juizado Especial Cível
10º Juiz. Esp. Cível e das Rel. de Consumo ,Juizado Especial Cível
10º JUIZADO ESPECIAL CÍVEL,Juizado Especial Cível
10º Juizado Especial Cível,Juizado Especial Cível
10º Juizado Especial Civel ,Juizado Especial Cível
10º JUIZADO ESPECIAL CÍVEL - CORDEIRO,Juizado Especial Cível
10º Juizado especial cível e criminal,Juizado Especial Cível
10º Juizado Especial Cível e das Relações de Cons. ,Juizado Especial Cível
10º JUIZADO ESPECIAL DAS RELAÇÕES DE CONSUMO,Juizado Especial Cível
10º Vara do Juizado Especial Cível,Juizado Especial Cível
11° Juizado Especial Cível,Juizado Especial Cível
11° Juizado Especial Cível ,Juizado Especial Cível
11° Juizado Especial Cível E Criminal,Juizado Especial Cível
11° Vara Cível,Vara Cível
11° Vara Dos Juizados Especiais Do Consumidor,Juizado Especial Cível
11ª Câmara Cível,Vara Cível
11ª Câmara de Direito Privado,Vara Cível
"11ª Turma - Segunda Seção - Administrativa, Cível e Comercial",Juizado Especial Cível
11ª UNIDADE DO JUIZADO ESPECIAL CÍVEL E CRIMINAL,Juizado Especial Cível
11ª Unidade Jurisd Cível - Barreiro - 34º JD ,Vara Cível
