situacao_processual,resultado_decisao,novo_situacao_processual+resultado_decisao,situacao_processual_sentenca
CONDENAÇÃO - SENTENÇA,Conexão,Condenação,CONDENAÇÃO - SENTENÇAConexão
CONDENAÇÃO - SENTENÇA,Improcedente,Decisão favorável à aérea (improcedência),CONDENAÇÃO - SENTENÇAImprocedente
CONDENAÇÃO - SENTENÇA,Obrigação de fazer,Condenação,CONDENAÇÃO - SENTENÇAObrigação de fazer
CONDENAÇÃO - SENTENÇA,Parcial,Condenação,CONDENAÇÃO - SENTENÇAParcial
CONDENAÇÃO - SENTENÇA,Procedente em parte,Condenação,CONDENAÇÃO - SENTENÇAProcedente em parte
CONDENAÇÃO - SENTENÇA,Suspensão,Condenação,CONDENAÇÃO - SENTENÇASuspensão
CONDENAÇÃO - SENTENÇA,Total,Condenação,CONDENAÇÃO - SENTENÇATotal
CONDENAÇÃO - SENTENÇA,,Condenação,CONDENAÇÃO - SENTENÇA
CONDENAÇÃO PAGA POR ACORDO,,Condenação,CONDENAÇÃO PAGA POR ACORDO
CONDENAÇÃO PAGA POR ACORDO,Acordo,Acordo,CONDENAÇÃO PAGA POR ACORDOAcordo
CONDENAÇÃO PAGA POR ACORDO,Acordo após a audiência,Acordo,CONDENAÇÃO PAGA POR ACORDOAcordo após a audiência
CONDENAÇÃO PAGA POR ACORDO,Acordo com terceiro que aproveitou o cliente,Extinção sem julgamento do mérito,CONDENAÇÃO PAGA POR ACORDOAcordo com terceiro que aproveitou o cliente
CONDENAÇÃO PAGA POR ACORDO,Acordo durante a audiência,Acordo,CONDENAÇÃO PAGA POR ACORDOAcordo durante a audiência
CONDENAÇÃO PAGA POR ACORDO,Condenação,Condenação,CONDENAÇÃO PAGA POR ACORDOCondenação
CONDENAÇÃO PAGA POR ACORDO,Condenação majorada em acordão,Condenação,CONDENAÇÃO PAGA POR ACORDOCondenação majorada em acordão
CONDENAÇÃO PAGA POR ACORDO,Condenação mantida em acórdão,Condenação,CONDENAÇÃO PAGA POR ACORDOCondenação mantida em acórdão
CONDENAÇÃO PAGA POR ACORDO,Condenação paga pela Corré,Condenação,CONDENAÇÃO PAGA POR ACORDOCondenação paga pela Corré
CONDENAÇÃO PAGA POR ACORDO,Condenação paga por acordo,Acordo,CONDENAÇÃO PAGA POR ACORDOCondenação paga por acordo
CONDENAÇÃO PAGA POR ACORDO,Condenação reduzida em acordão,Condenação,CONDENAÇÃO PAGA POR ACORDOCondenação reduzida em acordão
CONDENAÇÃO PAGA POR ACORDO,Parcial,Condenação,CONDENAÇÃO PAGA POR ACORDOParcial
CONDENAÇÃO PAGA POR ACORDO,Total,Condenação,CONDENAÇÃO PAGA POR ACORDOTotal
Condenação; Pendente recurso companhia aérea,Parcialmente procedente,Condenação,Condenação; Pendente recurso companhia aéreaParcialmente procedente
Conhecimento/Inicial,,Não informado,Conhecimento/Inicial
Conhecimento/Inicial,Dado parcial provimento ao recurso.,Condenação,Conhecimento/InicialDado parcial provimento ao recurso.
Conhecimento/Inicial,Sentença de Extinção da Punibilidade,Decisão favorável à aérea (improcedência),Conhecimento/InicialSentença de Extinção da Punibilidade
Conhecimento/Inicial,Sentença improcedente.,Decisão favorável à aérea (improcedência),Conhecimento/InicialSentença improcedente.
Conhecimento/Inicial,Sentença parcialmente procedente.,Condenação,Conhecimento/InicialSentença parcialmente procedente.
Conhecimento/Inicial,Sentença procedente.,Condenação,Conhecimento/InicialSentença procedente.
