operacao_original,operacao_reclassificado
CGH/FOR/SLZ,Doméstico
CGH/GIG,Doméstico
CGH/GIG/NAT,Doméstico
CGH/GYN,Doméstico
CGH/GYN/CGH,Doméstico
CGH/GYN/GYN/CGH,Doméstico
CGH/IOS,Doméstico
CGH/IOS/CGH,Doméstico
CGH/IOS/IOS/CGH,Doméstico
CGH/JJD,Doméstico
CGH/JPA,Doméstico
CGH/JPA/JPA/CGH,Doméstico
CGH/LDB,Doméstico
CGH/MAO,Doméstico
CGH/MCZ,Doméstico
CGH/MCZ/CGH,Doméstico
CGH/MCZ/MCZ/CGH,Doméstico
CGH/MCZ/REC/CGH,Doméstico
CGH/MGF,Doméstico
CGH/NAT,Doméstico
CGH/NAT/NAT/CGH,Doméstico
CGH/NAV,Internacional
CGH/NVT,Doméstico
CGH/NVT/CGH,Doméstico
CGH/NVT/NVT/CGH,Doméstico
CGH/POA,Doméstico
CGH/POA/CGH,Doméstico
CGH/POA/POA/CGH,Doméstico
CGH/POA/POA/GRU,Doméstico
CGH/PPB,Doméstico
CGH/PVH,Doméstico
CGH/RAO,Doméstico
CGH/REC,Doméstico
CGH/REC/FEN,Doméstico
CGH/REC/REC/CGH,Doméstico
CGH/REC/REC/GRU,Doméstico
CGH/SDU,Doméstico
CGH/SDU/BSB/PVH,Doméstico
CGH/SDU/CGH,Doméstico
CGH/SDU/VIX,Doméstico
CGH/SSA,Doméstico
CGH/SSA/BPS,Doméstico
CGH/SSA/JPA,Doméstico
CGH/SSA/MCZ,Doméstico
CGH/SSA/SSA/CGH,Doméstico
CGH/SSA/SSA/SDU,Doméstico
CGH/UDI,Doméstico
CGH/UDI/CGH,Doméstico
CGH/VIX,Doméstico
CGH-SJP,Doméstico
CGR - BSB,Doméstico
CGR - GRU,Doméstico
CGR - GRU,Doméstico
CGR - GRU / GRU - CGR,Doméstico
CGR X CGH / GRU X CGR,Doméstico
CGR*GRU,Doméstico
CGR//GRU,Doméstico
CGR/BSB,Doméstico
CGR/BSB/REC,Doméstico
CGR/CGH,Doméstico
CGR/CGH/BPS/SSA/GRU/CGR,Doméstico
CGR/CGH/BSB/FOR,Doméstico
CGR/CGH/CGH/CGR,Doméstico
CGR/CGH/FOR,Doméstico
CGR/CGH/MCZ/MCZ/GRU/CGR,Doméstico
CGR/CGH/POA,Doméstico
CGR/CGH/REC,Doméstico
CGR/GIG,Doméstico
CGR/GRU,Doméstico
CGR/GRU GRU/MCZ,Doméstico
CGR/GRU/BPS,Doméstico
CGR/GRU/FLN,Doméstico
CGR/GRU/GIG/NAT,Doméstico
CGR/GRU/GRU/CGH,Doméstico
CGR/GRU/GRU/CGR,Doméstico
CGR/GRU/GRU/GIG,Doméstico
CGR/GRU/GRU/MCZ/MCZ/CGH/CGH/CGR,Doméstico
CGR/GRU/GRU/NAT,Doméstico
CGR/GRU/GRU/POA/POA/CGH/CGH/CGR,Doméstico
CGR/GRU/GRU/REC,Doméstico
CGR/GRU/IOS,Doméstico
CGR/GRU/MCZ,Doméstico
CGR/GRU/MCZ/MCZ/GRU/CGR,Doméstico
CGR/GRU/NAT,Doméstico
CGR/GRU/NVT,Doméstico
CGR/GRU/SDU/SDU/GRU/CGR,Doméstico
CGR/GYN,Doméstico
CGR/JPA,Doméstico
CGR/MAO,Doméstico
CGR/MCZ/MCZ/CGR,Doméstico
CGR/REC,Doméstico
CGR-GRU,Doméstico
CGU/BSB,Doméstico
CHG/BSB,Internacional
CIZ/MAO,Doméstico
CKS/BSB,Doméstico
CKS/BSB/GIG/FLN,Doméstico
CLV/GRU,Doméstico
CNF X SDU X CWB,Doméstico
CNF/BPS,Doméstico
CNF/BSB,Doméstico
CNF/BSB/PVH,Doméstico
CNF/BSB/SSA,Doméstico
CNF/CGH,Doméstico
CNF/CGH CGH/BSB,Doméstico
CNF/CGH/FLN,Doméstico
CNF/CGH/SDU/NVT,Doméstico
CNF/CGH/SSA,Doméstico
CNF/CWB,Doméstico
CNF/FOR,Doméstico
CNF/GIG,Doméstico
CNF/GRU,Doméstico
CNF/GRU/CGR,Doméstico
CNF/GRU/CWB,Doméstico
CNF/GRU/GRU/BPS,Doméstico
CNF/GRU/GRU/PNZ,Doméstico
CNF/GRU/LDB,Doméstico
CNF/GRU/MGF,Doméstico
CNF/GRU/SSA,Doméstico
CNF/NAT,Doméstico
CNF/REC,Doméstico
CNF/SDU/GRU/MGF,Doméstico
CNF/SSA,Doméstico
CNF/SSA/FOR,Doméstico
