operacao_original,operacao_reclassificado
MGF - GRU - REC,Doméstico
MGF/CGB,Doméstico
MGF/CGH,Doméstico
MGF/CGH// SSA/GRU,Doméstico
MGF/CGH/BSB/NAT/GIG/CWB,Doméstico
MGF/CGH/CGH/MGF,Doméstico
MGF/CGH/FLN,Doméstico
MGF/CGH/GIG/NAT,Doméstico
MGF/CWB,Doméstico
MGF/CWB/CWB/MGF,Doméstico
MGF/FOR,Doméstico
MGF/GRU,Doméstico
MGF/GRU  GRU/REC  REC/FEN,Doméstico
MGF/GRU GRU/GIG,Doméstico
MGF/GRU//CNF/SDU,Doméstico
MGF/GRU/BEL,Doméstico
MGF/GRU/BPS,Doméstico
MGF/GRU/BSB/BSB/GRU/MGF,Doméstico
MGF/GRU/CGB,Doméstico
MGF/GRU/CNF/SDU,Doméstico
MGF/GRU/CWB,Doméstico
MGF/GRU/CWB/CWB/CGH/MGF,Doméstico
MGF/GRU/EZE,Internacional
MGF/GRU/GIG,Doméstico
MGF/GRU/GIG/FOR,Doméstico
MGF/GRU/GIG/GRU/MGF,Doméstico
MGF/GRU/GRU/MGF,Doméstico
MGF/GRU/GRU/MGF/GRU/MCZ/MCZ/GRU,Doméstico
MGF/GRU/GRU/SSA,Doméstico
MGF/GRU/GYN/SSA,Doméstico
MGF/GRU/JPA/JPA/GRU/MGF,Doméstico
MGF/GRU/MAO,Doméstico
MGF/GRU/MCZ,Doméstico
MGF/GRU/MGF,Doméstico
MGF/GRU/MIA,Internacional
MGF/GRU/NAT,Doméstico
MGF/GRU/NAT/NAT/GIG/CWB/MGF,Doméstico
MGF/GRU/POA,Doméstico
MGF/GRU/REC,Doméstico
MGF/GRU/SCL,Internacional
MGF/GRU/SCL/SCL/GRU/MGF,Internacional
MGF/GRU/SDU,Doméstico
MGF/GRU/SSA,Doméstico
MGF/GRU/VVI,Internacional
MGF/JOI,Doméstico
MGF/NAT,Doméstico
MGF/NAT/NAT/MGF,Doméstico
MGF/SCL,Internacional
MGF-GRU,Doméstico
MIA/BSB,Internacional
MIA/BSB/BSB/CGH/CGH/BSB/BSB/MIA,Internacional
MIA/BSB/GYN,Internacional
MIA/CUN/BSB,Internacional
MIA/FOR,Internacional
MIA/GRU/MAO,Internacional
MIA/GRU/SSA,Internacional
MIA/MCO/BSB/REC,Internacional
MOA/REC,Internacional
MOC/GRU,Doméstico
MOC/GRU/CAC,Doméstico
MOC/GRU/MGF,Doméstico
MOC/GRU/MOC,Doméstico
MOC/GRU/SSA,Doméstico
MOC/MAO/PVH,Doméstico
MOC/SSA,Doméstico
MSF/GRU,Internacional
MVD/GRU,Internacional
MVD/GRU/CNF,Internacional
MVT/GRU,Internacional
N/I,Outros
Não Aplicável,Outros
NAT - CAC,Doméstico
NAT - CNF,Doméstico
NAT/ CGH,Doméstico
NAT/BSB,Doméstico
NAT/BSB/BSB/PVH,Doméstico
NAT/BSB/BSB/VCP,Doméstico
NAT/BSB/GRU,Doméstico
NAT/BSB/GYN,Doméstico
NAT/BSB/LDB,Doméstico
NAT/BSB/MAO,Doméstico
NAT/BSB/PVH,Doméstico
NAT/CGH,Doméstico
NAT/CGH/GYN,Doméstico
NAT/CGR,Doméstico
NAT/CNF,Doméstico
NAT/FOR,Doméstico
NAT/FOR/FOR/CGH,Doméstico
NAT/FOR/MAO/PVH,Doméstico
NAT/GIG,Doméstico
NAT/GIG/CGH/LDB,Doméstico
NAT/GIG/CGH/MGF,Doméstico
NAT/GIG/GRU/MGF,Doméstico
NAT/GRU,Doméstico
NAT/GRU/BSB,Doméstico
NAT/GRU/BSB/PVH,Doméstico
NAT/GRU/CNF,Doméstico
NAT/GRU/FLN,Doméstico
NAT/GRU/GRU/MGF,Doméstico
NAT/GRU/MGF,Doméstico
NAT/GRU/PPD,Internacional
NAT/LDB,Doméstico
NAT/MAO,Doméstico
NAT/MGF,Doméstico
NAT/SSA,Doméstico
NAT/SSA/POA,Doméstico
NAT/SSA/SSA/NAT,Doméstico
NAT/SSA/VIX,Doméstico
NAT/VCP,Doméstico
Natal x Salvador,Doméstico
NAV/GIG/GIG/REC,Internacional
NCT/GRU,Internacional
NVG/GRU,Internacional
NVT - CGH,Doméstico
NVT/ GRU,Doméstico
NVT/CDU,Internacional
NVT/CGH,Doméstico
NVT/CGH/BSB,Doméstico
NVT/CGH/BSB/PMW,Doméstico
NVT/CGH/CGH FOR,Doméstico
NVT/CGH/CGH/MCZ,Doméstico
NVT/CGH/CGH/NVT,Doméstico
NVT/CGH/FOR,Doméstico
NVT/CGH/GRU/VIX,Doméstico
NVT/CGH/GYN,Doméstico
NVT/CGH/MCZ,Doméstico
NVT/CGH/REC,Doméstico
NVT/CGH/VIX,Doméstico
NVT/CLV,Doméstico
NVT/CNF,Doméstico
NVT/GIG,Doméstico
NVT/GIG/GIG/BSB/BSB/PVH,Doméstico
NVT/GIG/GIG/IGU/ IGU/GRU/GRU/NVT,Doméstico
NVT/GIG/REC,Doméstico
NVT/GIG/SSA,Doméstico
NVT/GRU,Doméstico
NVT/GRU/BPS/GRU/NVT,Doméstico
NVT/GRU/BSB,Doméstico
NVT/GRU/CGR,Doméstico
NVT/GRU/FOR,Doméstico
NVT/GRU/GRU/BSB,Doméstico
NVT/GRU/GRU/FOR,Doméstico
NVT/GRU/GRU/REC,Doméstico
NVT/GRU/JPA,Doméstico
NVT/GRU/MGF,Doméstico
NVT/GRU/MOC,Doméstico
NVT/GRU/SJP,Doméstico
NVT/GRU/SSA,Doméstico
NVT/GRU/VDC,Doméstico
NVT/NAT,Doméstico
NVT/PVH,Doméstico
NVT/SDU,Doméstico
NVT/SDU/BSB/PVH,Doméstico
NVT/SDU/SDU/NVT,Doméstico
OMV/BSB/MCZ/PMW/MCZ/MCZ/PMW,Outros
OPO/MAD/GRU/SDU,Internacional
OPS/GRU,Doméstico
OPS/GRU/FLN,Doméstico
OPS/GRU/GRU/BSB,Doméstico
OPS/VIX,Doméstico
ORY/GRU,Internacional
PBM/BEL,Internacional
PCH/BSB/NAT,Internacional
PET/GRU,Doméstico
PET/GRU/BSB,Doméstico
PHV/BSB/NAT,Doméstico
PHV/STM,Doméstico
PMB/BEL,Internacional
PMW/BSB,Doméstico
PMW/BSB/BSB/CGH/CGH/FLN/FLN/CGH/CGH/BSB/BSB/PMW,Doméstico
PMW/BSB/CGH/FLN,Doméstico
PMW/BSB/EZE/BSB/PMW,Internacional
PMW/BSB/EZE/EZE/GRU/BSB/PMW,Internacional
PMW/BSB/GRU,Doméstico
PMW/BSB/GRU/JOI,Doméstico
PMW/BSB/MCP,Doméstico
PMW/BSB/NAT/SSA,Doméstico
PMW/BSB/PVH,Doméstico
PMW/BSB/SDU,Doméstico
PMW/BSB/SDU//SDU/BSB/PMW,Doméstico
PMW/BSB/UDI,Doméstico
PMW/CGH,Doméstico
PMW/CGH/CGH/SSA/PMW,Doméstico
PMW/GRU,Doméstico
PMW/SDU,Doméstico
PMW/SSA,Doméstico
PMW/SSA/IOS,Doméstico
PMW/VCP/VCP/PMW,Doméstico
PNZ/ GRU,Doméstico
PNZ/GRU,Doméstico
PNZ/GRU/GRU/PNZ,Doméstico
PNZ/GRU/SCL,Internacional
PNZ/SSA,Doméstico
PNZ/SSA/GRU,Doméstico
PNZ/SSA/PNZ,Doméstico
PNZ/SSA/SSA/GRU,Doméstico
POA - CGH,Doméstico
POA - CGH,Doméstico
POA - CGH - REC,Doméstico
POA - GRU,Doméstico
POA/BSB,Doméstico
POA/BSB/BSB/POA,Doméstico
POA/BSB/BVB,Doméstico
POA/BSB/FOR,Doméstico
POA/BSB/MAO,Doméstico
POA/BSB/MCZ,Doméstico
POA/BSB/PVH,Doméstico
POA/BSB/REC,Doméstico
POA/BSB/THE,Doméstico
POA/BVB,Doméstico
POA/CGH,Doméstico
POA/CGH/BSB/PMW,Doméstico
POA/CGH/CGH/SSA,Doméstico
POA/CGH/CGH/VIX,Doméstico
POA/CGH/FOR,Doméstico
POA/CGH/NAT,Doméstico
POA/CGH/NVT,Doméstico
POA/CGH/PPB,Doméstico
POA/CGH/SDU,Doméstico
POA/CGH/SSA,Doméstico
POA/CGH/VIX,Doméstico
POA/CWB,Doméstico
POA/CWB/CGH,Doméstico
POA/CWB/CWB/POA,Doméstico
POA/CWB/FLN/MAO,Doméstico
POA/EZE,Internacional
POA/GIG,Doméstico
POA/GIG/CWB,Doméstico
POA/GIG/GYN,Doméstico
POA/GIG/REC,Doméstico
POA/GIG/SSA,Doméstico
POA/GR/PNZ,Doméstico
POA/GRU,Doméstico
POA/GRU/BSB/PVH,Doméstico
POA/GRU/CGB,Doméstico
POA/GRU/CGR,Doméstico
POA/GRU/GRU/BSB/BSB/PVH,Doméstico
POA/GRU/GRU/CGB/CGB/BSB/BSB/PVH,Doméstico
POA/GRU/GRU/SSA,Doméstico
POA/GRU/GRU/VIX,Doméstico
POA/GRU/GRU/VIX/VIX/GRU/GRU/POA/POA/GRU/GRU/VIX,Doméstico
POA/GRU/GYN,Doméstico
POA/GRU/LDB,Doméstico
POA/GRU/LIM,Internacional
POA/GRU/MAO,Doméstico
POA/GRU/MAO/PVH,Doméstico
POA/GRU/MGF,Doméstico
POA/GRU/PNZ,Doméstico
POA/GRU/PPB,Doméstico
POA/GRU/REC,Doméstico
POA/GRU/SJP,Doméstico
POA/GRU/SSA,Doméstico
POA/GRU/UDI,Doméstico
POA/MAO,Doméstico
POA/MCZ,Doméstico
POA/PVH,Doméstico
POA/REC,Doméstico
POA/SDU,Doméstico
POA/SDU/VIX,Doméstico
POA/SSA,Doméstico
POA/VIX,Doméstico
POA-CWB,Doméstico
PORTO VELHO - FORTALEZA,Doméstico
PPB/CGH,Doméstico
PPB/CGH  CGH/SDU,Doméstico
PPB/CGH/GIG/REC,Doméstico
PPB/CGH/POA,Doméstico
PPB/CGH/SDU/SDU/CGH/PPB,Doméstico
PPB/FLN,Doméstico
PPB/GRU,Doméstico
PPB/GRU/BPS/BPS/GRU/PPB,Doméstico
PPB/GRU/FLN,Doméstico
PPB/GRU/MCZ,Doméstico
PPB/GRU/VIX,Doméstico
PUJ/BOG/GRU/CWB,Internacional
PUJ/GRU,Internacional
PUJ/MIA,Internacional
PVB/BSB,Doméstico
PVH - BSB,Doméstico
PVH - BSB - FOR,Doméstico
PVH - BSB - GRU - MGF,Doméstico
PVH - BSB - GRU - SCL,Internacional
PVH - BSB - REC,Doméstico
PVH - MAO,Doméstico
PVH - MAO - BSB - GRU - IOS,Doméstico
PVH x BSB x CNF,Doméstico
PVH X MAO,Doméstico
PVH X NAT,Doméstico
PVH/ MAO/MAO/PVH,Doméstico
PVH/BEL,Doméstico
PVH/BSB,Doméstico
PVH/BSB/BPS,Doméstico
PVH/BSB/BSB/BEL,Doméstico
PVH/BSB/BSB/BEL/BEL/STM,Doméstico
PVH/BSB/BSB/CGH,Doméstico
PVH/BSB/BSB/CGH/CGH/SDU,Doméstico
PVH/BSB/BSB/CWB/CWB/BSB/BSB/PVH,Doméstico
PVH/BSB/BSB/FLN,Doméstico
PVH/BSB/BSB/FLN/FLN/BSB/BSB/PVH,Doméstico
PVH/BSB/BSB/FOR,Doméstico
PVH/BSB/BSB/GIG,Doméstico
PVH/BSB/BSB/GIG/GIG/MAO/MAO/PVH,Doméstico
PVH/BSB/BSB/GRU,Doméstico
PVH/BSB/BSB/GRU/BRU/JDO/JDO/FOR/FPR/BSB/BSB/PVH,Internacional
PVH/BSB/BSB/GRU/GRU/BSB/BSB/PVH,Doméstico
PVH/BSB/BSB/GRU/GRU/CWB/CWB/GRU/GRU/BSB/BSB/PVH,Doméstico
PVH/BSB/BSB/GRU/GRU/JDO,Doméstico
PVH/BSB/BSB/GRU/GRU/JPA,Doméstico
PVH/BSB/BSB/GRU/GRU/MCZ,Doméstico
PVH/BSB/BSB/GRU/GRU/MGF,Doméstico
PVH/BSB/BSB/GRU/GRU/POA/POA/GIG/GIG/MAO/MAO/PVH,Doméstico
PVH/BSB/BSB/JPA/JPA/BSB/BSB/PVH,Doméstico
PVH/BSB/BSB/MAO/STM,Doméstico
PVH/BSB/BSB/MCZ,Doméstico
PVH/BSB/BSB/MCZ/MCZ/BSB/BSB/PVH,Doméstico
PVH/BSB/BSB/NAT/GRU/NAT/PVH/BSB/BSB/GRU,Doméstico
PVH/BSB/BSB/PMW/PMW/BSB/BSB/PVH,Doméstico
PVH/BSB/BSB/POA/POA/BSB/BSB/PVH,Doméstico
PVH/BSB/BSB/PVH,Doméstico
PVH/BSB/BSB/REC/REC/BSB/BSB/PVH,Doméstico
PVH/BSB/BSB/SDU,Doméstico
PVH/BSB/BSB/SLZ,Doméstico
PVH/BSB/BSB/SSA,Doméstico
PVH/BSB/BSB/SSA/SSA/BPS,Doméstico
PVH/BSB/BSB/SSA/SSA/MCZ,Doméstico
PVH/BSB/BSB/STM/STM/BSB/BSB/PVH,Doméstico
PVH/BSB/BSB/UDI,Doméstico
PVH/BSB/BSBJPA/JPA/BSB/BSB/PVH,Doméstico
PVH/BSB/CGH,Doméstico
PVH/BSB/CGH/PPB,Doméstico
PVH/BSB/CNF,Doméstico
PVH/BSB/CNF/GRU/JDO,Doméstico
PVH/BSB/CWB,Doméstico
PVH/BSB/EZE,Internacional
PVH/BSB/EZE/EZE/GRU/BSB/PVH,Internacional
PVH/BSB/FOR,Doméstico
PVH/BSB/FOR/FOR/BSB/PVH,Doméstico
PVH/BSB/FOR/FOR/MAO/PVH,Doméstico
PVH/BSB/GIG,Doméstico
PVH/BSB/GIG/FLN,Doméstico
PVH/BSB/GIG/MCZ,Doméstico
PVH/BSB/GRU,Doméstico
PVH/BSB/GRU/AEP/GRU/BSB/PVH,Internacional
PVH/BSB/GRU/EZE,Internacional
PVH/BSB/GRU/GRU/BSB/PVH,Doméstico
PVH/BSB/GRU/IOS,Doméstico
PVH/BSB/GRU/SSA/FOR,Doméstico
PVH/BSB/JPA,Doméstico
PVH/BSB/JPA/JPA/BSB/PVH,Doméstico
PVH/BSB/MCZ,Doméstico
PVH/BSB/MCZ/MCZ/BSB/PVH,Doméstico
PVH/BSB/NAT,Doméstico
PVH/BSB/NAT/NAT/BSB/PVH,Doméstico
PVH/BSB/POA,Doméstico
PVH/BSB/POA/POA/GRU/BSB/PVH,Doméstico
PVH/BSB/REC,Doméstico
PVH/BSB/REC/FEN,Doméstico
PVH/BSB/SDU,Doméstico
PVH/BSB/SLZ/SLZ/BSB/PVH,Doméstico
PVH/BSB/SLZ/SLZ/GRU/BSB/PVH,Doméstico
PVH/BSB/SSA,Doméstico
PVH/BSB/SSA/BPS,Doméstico
PVH/BSB/SSA/BPS/BPS/GRU/MAO/PVH,Doméstico
PVH/BSB/SSA/IOS,Doméstico
PVH/BSB/SSA/SSA/BSB/PVH,Doméstico
PVH/BSB/SSA/VCP,Doméstico
PVH/BSB/THE,Doméstico
PVH/BSB/VCP,Doméstico
PVH/CGB,Doméstico
PVH/CWB,Doméstico
PVH/FOR,Doméstico
PVH/GRU,Doméstico
PVH/GRU/FLN,Doméstico
PVH/GRU/GRU/POA/POA/BSB/BSB/PVH,Doméstico
PVH/GYN,Doméstico
PVH/JPA,Doméstico
PVH/MAB,Doméstico
PVH/MAO,Doméstico
PVH/MAO/BEL,Doméstico
PVH/MAO/BSB,Doméstico
PVH/MAO/BVB,Doméstico
PVH/MAO/FOR,Doméstico
PVH/MAO/FOR/NAT/NAT/BSB/PVH,Doméstico
PVH/MAO/FOR/REC/FEN,Doméstico
PVH/MAO/GIG,Doméstico
PVH/MAO/GIG/BSB,Doméstico
PVH/MAO/GIG/VCP/GRU/BSB/PVH,Doméstico
PVH/MAO/GRU,Doméstico
PVH/MAO/GRU/BPS,Doméstico
PVH/MAO/GRU/GRU/MAO/PVH,Doméstico
PVH/MAO/MAO/BSB/PVH,Doméstico
PVH/MAO/MAO/BVB/BVB/MAO/MAO/PVH,Doméstico
PVH/MAO/MAO/FOR,Doméstico
PVH/MAO/MAO/FOR/FOR/GRU/GRU/BSB/BSB/PVH,Doméstico
PVH/MAO/MAO/GRU/GRU/GIG,Doméstico
PVH/MAO/MAO/PVH,Doméstico
PVH/MAO/MAO/STM,Doméstico
PVH/MAO/MAO/STM/STM/MAO/MAO/PVH,Doméstico
PVH/MAO/PVH,Doméstico
PVH/MCZ,Doméstico
PVH/MCZ/MCZ/PVH,Doméstico
PVH/MGF/MGF/CGH/BSB/NAT,Doméstico
PVH/MVD,Internacional
PVH/NAT,Doméstico
PVH/NVT,Doméstico
PVH/NVT/NVT/PVH,Doméstico
PVH/POA,Doméstico
PVH/POA/POA/PVH,Doméstico
PVH/RBR,Doméstico
PVH/REC/REC/PVH,Doméstico
PVH/SDU,Doméstico
PVH/SDU/PVH,Doméstico
PVH/SLZ,Doméstico
PVH/STM,Doméstico
PVH-UDI,Doméstico
PWD/BSB/CNF,Internacional
RAO/BSB,Doméstico
RAO/BSB/MCZ,Doméstico
RAO/BSB/RAO,Doméstico
RAO/CGH,Doméstico
RAO/CGH/NVT,Doméstico
RAO/CGH/SSA/NAT/NAT/SSA/CGH/RAO,Doméstico
RAO/CGN/FLN,Internacional
RAO/GRU,Doméstico
RAO/GRU/BSB/MCZ/MCZ/GRU/CGB/BSB/SJP/RAO,Doméstico
RAO/GRU/CNF,Doméstico
RAO/GRU/CWB,Doméstico
RAO/GRU/REC,Doméstico
RAO/GYN,Doméstico
RAO/SDU,Doméstico
RAO/SSA,Doméstico
RBR/BSB,Doméstico
RBR/BSB/MCZ,Doméstico
RBR/BSB/POA,Doméstico
RBR/CZS,Doméstico
RBR/FEN,Doméstico
RBR/GRU/REC/FEN,Doméstico
RBR/MAO,Doméstico
RBR/MAO/MAO/RBR,Doméstico
RBR/MCZ,Doméstico
REC - BSB,Doméstico
REC - BSB - GYN,Doméstico
REC - FOR,Doméstico
REC - GIG,Doméstico
REC - GRU,Doméstico
REC - MCO,Internacional
REC - SSA,Doméstico
REC- SCL,Internacional
REC/ AEP/EZE/BSB/REC,Internacional
REC/ BSB,Doméstico
REC/ BSB/PVH,Doméstico
REC/ CGH,Doméstico
REC/ CGH/CGH/NVT,Doméstico
REC/ FOR,Doméstico
REC/ GIG,Doméstico
REC/ GRU,Doméstico
REC/ GRU/MVD,Internacional
REC/ GRU/SCL,Internacional
REC/ POA,Doméstico
REC/ SCL,Internacional
REC/BPS,Doméstico
REC/BSB,Doméstico
REC/BSB/BEL,Doméstico
REC/BSB/BRA,Doméstico
REC/BSB/BSB/CNF,Doméstico
REC/BSB/BSB/REC,Doméstico
REC/BSB/CNF/CNF/CGH/REC,Doméstico
REC/BSB/CUN/CUN/BSB/REC,Internacional
REC/BSB/MCO,Internacional
REC/BSB/POA,Doméstico
REC/BSB/POA/POA/CGH/REC,Doméstico
REC/BSB/PVH,Doméstico
REC/BSB/SJP,Doméstico
REC/CGH,Doméstico
REC/CGH/CGH/REC,Doméstico
REC/CGH/CGR,Doméstico
REC/CGH/CXJ/CXJ/CGH/REC,Doméstico
REC/CGH/FLN,Doméstico
REC/CGH/GYN,Doméstico
REC/CGH/NVT,Doméstico
REC/CGH/POA,Doméstico
REC/CGH/REC,Doméstico
REC/EZE,Internacional
REC/FEN,Doméstico
REC/FEN  FEN/REC,Doméstico
REC/FEN/FEN/REC,Doméstico
REC/FEN/REC,Doméstico
REC/FOR,Doméstico
REC/FOR/CGH,Doméstico
REC/FOR/FOR/MAO,Doméstico
REC/FOR/FOR/REC,Doméstico
REC/FOR/FOR/SSA/SSA/REC,Doméstico
REC/FOR/MAO,Doméstico
REC/FOR/MIA,Internacional
REC/FOR/REC,Doméstico
REC/GCH,Internacional
REC/GIG,Doméstico
REC/GIG/FLN,Doméstico
REC/GIG/GIG/FOR/FOR/GIG,Doméstico
REC/GIG/GIG/REC,Doméstico
REC/GIG/GRU,Doméstico
REC/GIG/IGU,Doméstico
REC/GIG/IGU//IGU/CWB/GIG/REC,Doméstico
REC/GIG/IGU/IGU/GIG/REC,Doméstico
REC/GIG/MAO,Doméstico
REC/GIG/REC,Doméstico
REC/GRU,Doméstico
REC/GRU GRU/GYN,Doméstico
REC/GRU/CGR,Doméstico
REC/GRU/CXJ,Doméstico
REC/GRU/EZE,Internacional
REC/GRU/FLN,Doméstico
REC/GRU/GIG/REC,Doméstico
REC/GRU/GRU/BSB/BSB/PVH,Doméstico
REC/GRU/GRU/EZE,Internacional
REC/GRU/GRU/REC,Doméstico
REC/GRU/GRU/SCL,Internacional
REC/GRU/GYN,Doméstico
REC/GRU/IAH/SEA,Internacional
REC/GRU/IGU,Doméstico
REC/GRU/JOI,Doméstico
REC/GRU/LIM/LIM/GRU/REC,Internacional
REC/GRU/MAO,Doméstico
REC/GRU/MGF,Doméstico
REC/GRU/MOC,Doméstico
REC/GRU/MVD,Internacional
REC/GRU/NVT/GIG/REC,Doméstico
REC/GRU/REC,Doméstico
REC/GRU/SCL,Internacional
REC/GRU/SCL/SCL/GRU/REC,Internacional
REC/GRU/XAP,Doméstico
REC/IGU,Doméstico
REC/MIA,Internacional
REC/POA,Doméstico
REC/PVH,Doméstico
REC/SAO/CAC,Doméstico
REC/SCL,Internacional
REC/SSA,Doméstico
REC/SSA/CNF/SSA,Doméstico
REC/SSA/PMW,Doméstico
REC/SSA/SSA/BPS,Doméstico
REC/SSA/SSA/BPS/BPS/GRU/GRU/REC,Doméstico
REC/SSA/SSA/REC,Doméstico
REC/SSA/SSA/VCP/GRU/REC,Doméstico
REC/SSA/VCP,Doméstico
REC-FER,Doméstico
RECIFE - CONFINS,Doméstico
REN/FEN,Internacional
RIA/GRU/GRU/RIA,Doméstico
ROO/BSB/BSB/VIX,Doméstico
ROS/CGH,Internacional
RSB/PVH,Internacional
RVD/GRU/POA,Doméstico
Salvador (SSA) x São Paulo (GRU),Doméstico
Salvador x Belo Horizonte,Doméstico
SAO/DOU,Doméstico
SAO/SSA,Doméstico
SCL - GRU,Internacional
SCL X GRU X FOR,Internacional
SCL/CWB GRU/CWB,Internacional
SCL/GIG,Internacional
SCL/GRU,Internacional
SCL/GRU/CWB,Internacional
SCL/GRU/GYN,Internacional
SCL/GRU/PNZ,Internacional
SCL/GRU/REC,Internacional
SCL/GRU/SSA,Internacional
SCL/REC,Internacional
SDU - BSB,Doméstico
SDU - BSB,Doméstico
SDU - CGH,Doméstico
SDU - CGH,Doméstico
SDU - GRU,Doméstico
SDU CGH,Doméstico
SDU X CGH X CGR,Doméstico
SDU/AUX,Doméstico
SDU/BSB,Doméstico
SDU/BSB/BSB/PVH,Doméstico
SDU/BSB/CGB,Doméstico
SDU/BSB/MAO,Doméstico
SDU/BSB/PVH,Doméstico
SDU/CGH,Doméstico
SDU/CGH  CGH/CWB,Doméstico
SDU/CGH/BSB,Doméstico
SDU/CGH/CGH/CWB,Doméstico
SDU/CGH/CGR,Doméstico
SDU/CGH/CGR/CGR/CGH/SDU,Doméstico
SDU/CGH/CWB,Doméstico
SDU/CGH/FOR,Doméstico
SDU/CGH/GYN,Doméstico
SDU/CGH/NVT,Doméstico
SDU/CGH/PMW,Doméstico
SDU/CGH/REC,Doméstico
SDU/CGR,Doméstico
SDU/CNF,Doméstico
SDU/CNF/CNF/SDU,Doméstico
SDU/CNF/REC,Doméstico
SDU/CWB,Doméstico
SDU/FLN,Doméstico
SDU/FLN/BSB/PVH,Doméstico
SDU/GRU,Doméstico
SDU/GRU/AMS/AES,Internacional
SDU/GRU/ARU,Doméstico
SDU/GRU/FLN,Doméstico
SDU/GRU/GRU/IOS,Doméstico
SDU/GRU/JDO,Doméstico
SDU/GRU/JOI,Doméstico
SDU/GRU/MAO,Doméstico
SDU/GRU/MO,Doméstico
SDU/GRU/SLZ,Doméstico
SDU/GYN,Doméstico
SDU/IGU,Doméstico
SDU/MAO,Doméstico
SDU/MGF,Doméstico
SDU/NVT,Doméstico
SDU/NVT/GRU,Doméstico
SDU/POA,Doméstico
SDU/RAO,Doméstico
SDU/SSA,Doméstico
SDU/VCP,Doméstico
SDU/VDC,Doméstico
SDU/VIX,Doméstico
SDU-BSB,Doméstico
SJL/MAO,Doméstico
SJP/BSB,Doméstico
SJP/BSB BSB/NAT NAT/BSB BSB/SJP,Doméstico
SJP/BSB/BSB/POA,Doméstico
SJP/BSB/GRU,Doméstico
SJP/BSB/MCO//MCO/BSB/SJP,Internacional
SJP/BSB/MCZ,Doméstico
SJP/BSB/MCZ/MCZ/BSB/SJP,Doméstico
SJP/BSB/NAT,Doméstico
SJP/BSB/NAT/NAT/BSB/SJP,Doméstico
SJP/BSB/SSA/JPA,Doméstico
SJP/CGH,Doméstico
SJP/GRU,Doméstico
SJP/GRU/BSB/RBR,Doméstico
SJP/GRU/FOR/FOR/GRU/SJP,Doméstico
SJP/GRU/GIG,Doméstico
SJP/GRU/GRU/MCZ,Doméstico
SJP/GRU/MCZ,Doméstico
SJP/GRU/OPS,Doméstico
SJP/GRU/REC/CNF/BPS,Doméstico
SJP/MCZ,Doméstico
SJP/NAT,Doméstico
SJP/SSA,Doméstico
SLZ/BEL,Doméstico
SLZ/BSB,Doméstico
SLZ/BSB/CGH,Doméstico
SLZ/BSB/CWB,Doméstico
SLZ/BSB/GYN,Doméstico
SLZ/BSB/MAO,Doméstico
SLZ/BSB/PVH,Doméstico
SLZ/BSB/SDU,Doméstico
SLZ/CNF,Doméstico
SLZ/FOR/CGH/CWB,Doméstico
SLZ/GIG/GIG/VIX,Doméstico
SLZ/GRU,Doméstico
SLZ/GRU/FLN,Doméstico
SLZ/GRU/SDU,Doméstico
SLZ/PVH,Doméstico
SLZ/SSA,Doméstico
SLZ/SSA/FOR,Doméstico
SLZ/SSA/GYN,Doméstico
SRA/POA,Doméstico
SSA - BSB,Doméstico
SSA - BSB - PVH,Doméstico
SSA - CGH,Doméstico
SSA - FOR,Doméstico
SSA - GIG / SDU - SSA,Doméstico
SSA - GRU,Doméstico
SSA - GYN,Doméstico
SSA- BSB / BSB - MIA,Internacional
SSA X BSB X PMW,Doméstico
SSA X FOR,Doméstico
SSA X GIG/GIG X SSA,Doméstico
SSA X GRU,Doméstico
SSA/ BSB,Doméstico
SSA/ GRU,Doméstico
SSA/ NAT,Doméstico
SSA/ SDU,Doméstico
SSA/CNF,Doméstico
SSA/AEP,Internacional
SSA/AJU,Doméstico
SSA/BEL,Doméstico
SSA/BPS,Doméstico
SSA/BPS/SSA,Doméstico
SSA/BRA,Doméstico
SSA/BSB,Doméstico
SSA/BSB/BEL,Doméstico
SSA/BSB/BSB/MAO,Doméstico
SSA/BSB/BSB/POA/POA/SDU/SDU/SSA,Doméstico
SSA/BSB/BSB/PVH,Doméstico
SSA/BSB/BSB/PVH/PVH/MAO,Doméstico
SSA/BSB/BSB/SLZ/SLZ/BSB,Doméstico
SSA/BSB/BSB/SSA,Doméstico
SSA/BSB/CNF,Doméstico
SSA/BSB/FOR,Doméstico
SSA/BSB/GRU/SSA,Doméstico
SSA/BSB/MAO,Doméstico
SSA/BSB/MCO,Internacional
SSA/BSB/MIA,Internacional
SSA/BSB/MIA//MIA/BSB/SSA,Internacional
SSA/BSB/PMW,Doméstico
SSA/BSB/PVH,Doméstico
SSA/BSB/SSA,Doméstico
SSA/BSB/THE,Doméstico
SSA/BSB/THE/GRU,Doméstico
SSA/CAC,Doméstico
SSA/CGB,Doméstico
SSA/CGH,Doméstico
SSA/CGH// GRU/SSA,Doméstico
SSA/CGH/BSB/BRA,Doméstico
SSA/CGH/CGH/POA/POA/CGH/CGH/SSA,Doméstico
SSA/CGH/CGH/SSA,Doméstico
SSA/CGH/CGH/VIX/VIX/SSA,Doméstico
SSA/CGH/CWB,Doméstico
SSA/CGH/FLN,Doméstico
SSA/CGH/NVT,Doméstico
SSA/CGH/POA,Doméstico
SSA/CGH/POA/POA/CGH/SSA,Doméstico
